_id,type,model
ObjectId(6a580cc90514617b3e3527a4),laptop,zeta
ObjectId(6a580cc90514617b3e3527a5),laptop,qw2
ObjectId(6a580cc90514617b3e3527a6),laptop,j3
ObjectId(6a580cc90514617b3e3527a7),laptop,ay9
ObjectId(6a580cc90514617b3e3527a8),laptop,ki2
ObjectId(6a580cc90514617b3e3527a9),laptop,k12
ObjectId(6a580cc90514617b3e3527aa),laptop,jl3
ObjectId(6a580cc90514617b3e3527ab),laptop,ki2
ObjectId(6a580cc90514617b3e3527ac),laptop,ay9
ObjectId(6a580cc90514617b3e3527ad),laptop,kz
ObjectId(6a580cc90514617b3e3527ae),laptop,ki2
ObjectId(6a580cc90514617b3e3527af),laptop,ki2
ObjectId(6a580cc90514617b3e3527b0),laptop,kz
ObjectId(6a580cc90514617b3e3527b1),laptop,c6
ObjectId(6a580cc90514617b3e3527b2),laptop,j3
ObjectId(6a580cc90514617b3e3527b3),laptop,qw2
ObjectId(6a580cc90514617b3e3527b4),laptop,ki2
ObjectId(6a580cc90514617b3e3527b5),laptop,jl3
ObjectId(6a580cc90514617b3e3527b6),laptop,ay9
ObjectId(6a580cc90514617b3e3527b7),laptop,qw2
ObjectId(6a580cc90514617b3e3527b8),laptop,jl3
ObjectId(6a580cc90514617b3e3527b9),laptop,k12
ObjectId(6a580cc90514617b3e3527ba),laptop,c6
ObjectId(6a580cc90514617b3e3527bb),laptop,qw2
ObjectId(6a580cc90514617b3e3527bc),laptop,qw2
ObjectId(6a580cc90514617b3e3527bd),laptop,ay9
ObjectId(6a580cc90514617b3e3527be),laptop,k12
ObjectId(6a580cc90514617b3e3527bf),laptop,k12
ObjectId(6a580cc90514617b3e3527c0),laptop,k12
ObjectId(6a580cc90514617b3e3527c1),laptop,zeta
ObjectId(6a580cc90514617b3e3527c2),laptop,qw2
ObjectId(6a580cc90514617b3e3527c3),laptop,k12
ObjectId(6a580cc90514617b3e3527c4),laptop,c6
ObjectId(6a580cc90514617b3e3527c5),laptop,j3
ObjectId(6a580cc90514617b3e3527c6),laptop,jl3
ObjectId(6a580cc90514617b3e3527c7),laptop,zeta
ObjectId(6a580cc90514617b3e3527c8),laptop,kz
ObjectId(6a580cc90514617b3e3527c9),laptop,k12
ObjectId(6a580cc90514617b3e3527ca),laptop,kz
ObjectId(6a580cc90514617b3e3527cb),laptop,jl3
ObjectId(6a580cc90514617b3e3527cc),laptop,zeta
ObjectId(6a580cc90514617b3e3527cd),laptop,ay9
ObjectId(6a580cc90514617b3e3527ce),laptop,jl3
ObjectId(6a580cc90514617b3e3527cf),laptop,ay9
ObjectId(6a580cc90514617b3e3527d0),laptop,k12
ObjectId(6a580cc90514617b3e3527d1),laptop,ay9
ObjectId(6a580cc90514617b3e3527d2),laptop,qw2
ObjectId(6a580cc90514617b3e3527d3),laptop,ay9
ObjectId(6a580cc90514617b3e3527d4),laptop,j3
ObjectId(6a580cc90514617b3e3527d5),laptop,ay9
ObjectId(6a580cc90514617b3e3527d6),laptop,c6
ObjectId(6a580cc90514617b3e3527d7),laptop,kz
ObjectId(6a580cc90514617b3e3527d8),laptop,k12
ObjectId(6a580cc90514617b3e3527d9),laptop,k12
ObjectId(6a580cc90514617b3e3527da),laptop,ki2
ObjectId(6a580cc90514617b3e3527db),laptop,ki2
ObjectId(6a580cc90514617b3e3527dc),laptop,jl3
ObjectId(6a580cc90514617b3e3527dd),laptop,ki2
ObjectId(6a580cc90514617b3e3527de),laptop,ki2
ObjectId(6a580cc90514617b3e3527df),laptop,qw2
ObjectId(6a580cc90514617b3e3527e0),laptop,qw2
ObjectId(6a580cc90514617b3e3527e1),laptop,ay9
ObjectId(6a580cc90514617b3e3527e2),laptop,zeta
ObjectId(6a580cc90514617b3e3527e3),laptop,j3
ObjectId(6a580cc90514617b3e3527e4),laptop,qw2
ObjectId(6a580cc90514617b3e3527e5),laptop,j3
ObjectId(6a580cc90514617b3e3527e6),laptop,qw2
ObjectId(6a580cc90514617b3e3527e7),laptop,ki2
ObjectId(6a580cc90514617b3e3527e8),laptop,j3
ObjectId(6a580cc90514617b3e3527e9),laptop,kz
ObjectId(6a580cc90514617b3e3527ea),laptop,zeta
ObjectId(6a580cc90514617b3e3527eb),laptop,qw2
ObjectId(6a580cc90514617b3e3527ec),laptop,zeta
ObjectId(6a580cc90514617b3e3527ed),laptop,k12
ObjectId(6a580cc90514617b3e3527ee),laptop,kz
ObjectId(6a580cc90514617b3e3527ef),laptop,kz
ObjectId(6a580cc90514617b3e3527f0),laptop,k12
ObjectId(6a580cc90514617b3e3527f1),laptop,ay9
ObjectId(6a580cc90514617b3e3527f2),laptop,k12
ObjectId(6a580cc90514617b3e3527f3),laptop,jl3
ObjectId(6a580cc90514617b3e3527f4),laptop,c6
ObjectId(6a580cc90514617b3e3527f5),laptop,kz
ObjectId(6a580cc90514617b3e3527f6),laptop,ay9
ObjectId(6a580cc90514617b3e3527f7),laptop,j3
ObjectId(6a580cc90514617b3e3527f8),laptop,j3
ObjectId(6a580cc90514617b3e3527f9),laptop,kz
ObjectId(6a580cc90514617b3e3527fa),laptop,ay9
ObjectId(6a580cc90514617b3e3527fb),laptop,ay9
ObjectId(6a580cc90514617b3e3527fc),laptop,c6
ObjectId(6a580cc90514617b3e3527fd),laptop,c6
ObjectId(6a580cc90514617b3e3527fe),laptop,k12
ObjectId(6a580cc90514617b3e3527ff),laptop,kz
ObjectId(6a580cc90514617b3e352800),laptop,kz
ObjectId(6a580cc90514617b3e352801),laptop,ay9
ObjectId(6a580cc90514617b3e352802),laptop,ay9
ObjectId(6a580cc90514617b3e352803),laptop,j3
ObjectId(6a580cc90514617b3e352804),laptop,kz
ObjectId(6a580cc90514617b3e352805),laptop,qw2
ObjectId(6a580cc90514617b3e352806),laptop,k12
ObjectId(6a580cc90514617b3e352807),laptop,j3
ObjectId(6a580cc90514617b3e352808),laptop,k12
ObjectId(6a580cc90514617b3e352809),laptop,ki2
ObjectId(6a580cc90514617b3e35280a),laptop,c6
ObjectId(6a580cc90514617b3e35280b),laptop,k12
ObjectId(6a580cc90514617b3e35280c),laptop,k12
ObjectId(6a580cc90514617b3e35280d),laptop,ay9
ObjectId(6a580cc90514617b3e35280e),laptop,kz
ObjectId(6a580cc90514617b3e35280f),laptop,k12
ObjectId(6a580cc90514617b3e352810),laptop,kz
ObjectId(6a580cc90514617b3e352811),laptop,qw2
ObjectId(6a580cc90514617b3e352812),laptop,c6
ObjectId(6a580cc90514617b3e352813),laptop,ki2
ObjectId(6a580cc90514617b3e352814),laptop,kz
ObjectId(6a580cc90514617b3e352815),laptop,c6
ObjectId(6a580cc90514617b3e352816),laptop,zeta
ObjectId(6a580cc90514617b3e352817),laptop,ki2
ObjectId(6a580cc90514617b3e352818),laptop,ki2
ObjectId(6a580cc90514617b3e352819),laptop,ki2
ObjectId(6a580cc90514617b3e35281a),laptop,c6
ObjectId(6a580cc90514617b3e35281b),laptop,k12
ObjectId(6a580cc90514617b3e35281c),laptop,ki2
ObjectId(6a580cc90514617b3e35281d),laptop,k12
ObjectId(6a580cc90514617b3e35281e),laptop,qw2
ObjectId(6a580cc90514617b3e35281f),laptop,kz
ObjectId(6a580cc90514617b3e352820),laptop,k12
ObjectId(6a580cc90514617b3e352821),laptop,kz
ObjectId(6a580cc90514617b3e352822),laptop,j3
ObjectId(6a580cc90514617b3e352823),laptop,ki2
ObjectId(6a580cc90514617b3e352824),laptop,zeta
ObjectId(6a580cc90514617b3e352825),laptop,kz
ObjectId(6a580cc90514617b3e352826),laptop,k12
ObjectId(6a580cc90514617b3e352827),laptop,jl3
ObjectId(6a580cc90514617b3e352828),laptop,ki2
ObjectId(6a580cc90514617b3e352829),laptop,c6
ObjectId(6a580cc90514617b3e35282a),laptop,kz
ObjectId(6a580cc90514617b3e35282b),laptop,ay9
ObjectId(6a580cc90514617b3e35282c),laptop,j3
ObjectId(6a580cc90514617b3e35282d),laptop,zeta
ObjectId(6a580cc90514617b3e35282e),laptop,zeta
ObjectId(6a580cc90514617b3e35282f),laptop,ki2
ObjectId(6a580cc90514617b3e352830),laptop,k12
ObjectId(6a580cc90514617b3e352831),laptop,qw2
ObjectId(6a580cc90514617b3e352832),laptop,jl3
ObjectId(6a580cc90514617b3e352833),laptop,jl3
ObjectId(6a580cc90514617b3e352834),laptop,ki2
ObjectId(6a580cc90514617b3e352835),laptop,jl3
ObjectId(6a580cc90514617b3e352836),laptop,jl3
ObjectId(6a580cc90514617b3e352837),laptop,zeta
ObjectId(6a580cc90514617b3e352838),laptop,ay9
ObjectId(6a580cc90514617b3e352839),laptop,zeta
ObjectId(6a580cc90514617b3e35283a),laptop,zeta
ObjectId(6a580cc90514617b3e35283b),laptop,k12
ObjectId(6a580cc90514617b3e35283c),laptop,ay9
ObjectId(6a580cc90514617b3e35283d),laptop,ki2
ObjectId(6a580cc90514617b3e35283e),laptop,k12
ObjectId(6a580cc90514617b3e35283f),laptop,qw2
ObjectId(6a580cc90514617b3e352840),laptop,zeta
ObjectId(6a580cc90514617b3e352841),laptop,qw2
ObjectId(6a580cc90514617b3e352842),laptop,c6
ObjectId(6a580cc90514617b3e352843),laptop,ki2
ObjectId(6a580cc90514617b3e352844),laptop,ay9
ObjectId(6a580cc90514617b3e352845),laptop,ay9
ObjectId(6a580cc90514617b3e352846),laptop,ay9
ObjectId(6a580cc90514617b3e352847),laptop,ay9
ObjectId(6a580cc90514617b3e352848),laptop,ay9
ObjectId(6a580cc90514617b3e352849),laptop,jl3
ObjectId(6a580cc90514617b3e35284a),laptop,k12
ObjectId(6a580cc90514617b3e35284b),laptop,ki2
ObjectId(6a580cc90514617b3e35284c),laptop,c6
ObjectId(6a580cc90514617b3e35284d),laptop,j3
ObjectId(6a580cc90514617b3e35284e),laptop,qw2
ObjectId(6a580cc90514617b3e35284f),laptop,ay9
ObjectId(6a580cc90514617b3e352850),laptop,kz
ObjectId(6a580cc90514617b3e352851),laptop,ay9
ObjectId(6a580cc90514617b3e352852),laptop,jl3
ObjectId(6a580cc90514617b3e352853),laptop,zeta
ObjectId(6a580cc90514617b3e352854),laptop,ki2
ObjectId(6a580cc90514617b3e352855),laptop,c6
ObjectId(6a580cc90514617b3e352856),laptop,kz
ObjectId(6a580cc90514617b3e352857),laptop,c6
ObjectId(6a580cc90514617b3e352858),laptop,kz
ObjectId(6a580cc90514617b3e352859),laptop,ki2
ObjectId(6a580cc90514617b3e35285a),laptop,j3
ObjectId(6a580cc90514617b3e35285b),laptop,ki2
ObjectId(6a580cc90514617b3e35285c),laptop,ay9
ObjectId(6a580cc90514617b3e35285d),laptop,ki2
ObjectId(6a580cc90514617b3e35285e),laptop,c6
ObjectId(6a580cc90514617b3e35285f),laptop,ay9
ObjectId(6a580cc90514617b3e352860),laptop,jl3
ObjectId(6a580cc90514617b3e352861),laptop,c6
ObjectId(6a580cc90514617b3e352862),laptop,zeta
ObjectId(6a580cc90514617b3e352863),laptop,kz
ObjectId(6a580cc90514617b3e352864),laptop,kz
ObjectId(6a580cc90514617b3e352865),laptop,c6
ObjectId(6a580cc90514617b3e352866),laptop,ki2
ObjectId(6a580cc90514617b3e352867),laptop,j3
ObjectId(6a580cc90514617b3e352868),laptop,k12
ObjectId(6a580cc90514617b3e352869),laptop,zeta
ObjectId(6a580cc90514617b3e35286a),laptop,qw2
ObjectId(6a580cc90514617b3e35286b),laptop,k12
ObjectId(6a580cc90514617b3e35286c),laptop,qw2
ObjectId(6a580cc90514617b3e35286d),laptop,j3
ObjectId(6a580cc90514617b3e35286e),laptop,jl3
ObjectId(6a580cc90514617b3e35286f),laptop,kz
ObjectId(6a580cc90514617b3e352870),laptop,zeta
ObjectId(6a580cc90514617b3e352871),laptop,kz
ObjectId(6a580cc90514617b3e352872),laptop,qw2
ObjectId(6a580cc90514617b3e352873),laptop,jl3
ObjectId(6a580cc90514617b3e352874),laptop,c6
ObjectId(6a580cc90514617b3e352875),laptop,k12
ObjectId(6a580cc90514617b3e352876),laptop,j3
ObjectId(6a580cc90514617b3e352877),laptop,jl3
ObjectId(6a580cc90514617b3e352878),laptop,jl3
ObjectId(6a580cc90514617b3e352879),laptop,jl3
ObjectId(6a580cc90514617b3e35287a),laptop,ki2
ObjectId(6a580cc90514617b3e35287b),laptop,ki2
ObjectId(6a580cc90514617b3e35287c),laptop,c6
ObjectId(6a580cc90514617b3e35287d),laptop,c6
ObjectId(6a580cc90514617b3e35287e),laptop,j3
ObjectId(6a580cc90514617b3e35287f),laptop,jl3
ObjectId(6a580cc90514617b3e352880),laptop,jl3
ObjectId(6a580cc90514617b3e352881),laptop,jl3
ObjectId(6a580cc90514617b3e352882),laptop,k12
ObjectId(6a580cc90514617b3e352883),laptop,c6
ObjectId(6a580cc90514617b3e352884),laptop,ay9
ObjectId(6a580cc90514617b3e352885),laptop,zeta
ObjectId(6a580cc90514617b3e352886),laptop,ay9
ObjectId(6a580cc90514617b3e352887),laptop,kz
ObjectId(6a580cc90514617b3e352888),laptop,kz
ObjectId(6a580cc90514617b3e352889),laptop,qw2
ObjectId(6a580cc90514617b3e35288a),laptop,j3
ObjectId(6a580cc90514617b3e35288b),laptop,ay9
ObjectId(6a580cc90514617b3e35288c),laptop,c6
ObjectId(6a580cc90514617b3e35288d),laptop,ki2
ObjectId(6a580cc90514617b3e35288e),laptop,kz
ObjectId(6a580cc90514617b3e35288f),laptop,j3
ObjectId(6a580cc90514617b3e352890),laptop,kz
ObjectId(6a580cc90514617b3e352891),laptop,jl3
ObjectId(6a580cc90514617b3e352892),laptop,ki2
ObjectId(6a580cc90514617b3e352893),laptop,ay9
ObjectId(6a580cc90514617b3e352894),laptop,k12
ObjectId(6a580cc90514617b3e352895),laptop,ki2
ObjectId(6a580cc90514617b3e352896),laptop,j3
ObjectId(6a580cc90514617b3e352897),laptop,j3
ObjectId(6a580cc90514617b3e352898),laptop,kz
ObjectId(6a580cc90514617b3e352899),laptop,c6
ObjectId(6a580cc90514617b3e35289a),laptop,kz
ObjectId(6a580cc90514617b3e35289b),laptop,kz
ObjectId(6a580cc90514617b3e35289c),laptop,c6
ObjectId(6a580cc90514617b3e35289d),laptop,k12
ObjectId(6a580cc90514617b3e35289e),laptop,jl3
ObjectId(6a580cc90514617b3e35289f),laptop,ki2
ObjectId(6a580cc90514617b3e3528a0),laptop,k12
ObjectId(6a580cc90514617b3e3528a1),laptop,c6
ObjectId(6a580cc90514617b3e3528a2),laptop,j3
ObjectId(6a580cc90514617b3e3528a3),laptop,ay9
ObjectId(6a580cc90514617b3e3528a4),laptop,qw2
ObjectId(6a580cc90514617b3e3528a5),laptop,zeta
ObjectId(6a580cc90514617b3e3528a6),laptop,zeta
ObjectId(6a580cc90514617b3e3528a7),laptop,qw2
ObjectId(6a580cc90514617b3e3528a8),laptop,zeta
ObjectId(6a580cc90514617b3e3528a9),laptop,qw2
ObjectId(6a580cc90514617b3e3528aa),laptop,jl3
ObjectId(6a580cc90514617b3e3528ab),laptop,j3
ObjectId(6a580cc90514617b3e3528ac),laptop,c6
ObjectId(6a580cc90514617b3e3528ad),laptop,k12
ObjectId(6a580cc90514617b3e3528ae),laptop,kz
ObjectId(6a580cc90514617b3e3528af),laptop,jl3
ObjectId(6a580cc90514617b3e3528b0),laptop,ki2
ObjectId(6a580cc90514617b3e3528b1),laptop,zeta
ObjectId(6a580cc90514617b3e3528b2),laptop,c6
ObjectId(6a580cc90514617b3e3528b3),laptop,j3
ObjectId(6a580cc90514617b3e3528b4),laptop,kz
ObjectId(6a580cc90514617b3e3528b5),laptop,zeta
ObjectId(6a580cc90514617b3e3528b6),laptop,qw2
ObjectId(6a580cc90514617b3e3528b7),laptop,ay9
ObjectId(6a580cc90514617b3e3528b8),laptop,c6
ObjectId(6a580cc90514617b3e3528b9),laptop,k12
ObjectId(6a580cc90514617b3e3528ba),laptop,qw2
ObjectId(6a580cc90514617b3e3528bb),laptop,ay9
ObjectId(6a580cc90514617b3e3528bc),laptop,j3
ObjectId(6a580cc90514617b3e3528bd),laptop,zeta
ObjectId(6a580cc90514617b3e3528be),laptop,kz
ObjectId(6a580cc90514617b3e3528bf),laptop,qw2
ObjectId(6a580cc90514617b3e3528c0),laptop,qw2
ObjectId(6a580cc90514617b3e3528c1),laptop,j3
ObjectId(6a580cc90514617b3e3528c2),laptop,ki2
ObjectId(6a580cc90514617b3e3528c3),laptop,c6
ObjectId(6a580cc90514617b3e3528c4),laptop,c6
ObjectId(6a580cc90514617b3e3528c5),laptop,c6
ObjectId(6a580cc90514617b3e3528c6),laptop,qw2
ObjectId(6a580cc90514617b3e3528c7),laptop,ki2
ObjectId(6a580cc90514617b3e3528c8),laptop,c6
ObjectId(6a580cc90514617b3e3528c9),laptop,zeta
ObjectId(6a580cc90514617b3e3528ca),laptop,ay9
ObjectId(6a580cc90514617b3e3528cb),laptop,k12
ObjectId(6a580cc90514617b3e3528cc),laptop,zeta
ObjectId(6a580cc90514617b3e3528cd),laptop,c6
ObjectId(6a580cc90514617b3e3528ce),laptop,qw2
ObjectId(6a580cc90514617b3e3528cf),laptop,jl3
ObjectId(6a580cc90514617b3e3528d0),laptop,ay9
ObjectId(6a580cc90514617b3e3528d1),laptop,j3
ObjectId(6a580cc90514617b3e3528d2),laptop,ay9
ObjectId(6a580cc90514617b3e3528d3),laptop,qw2
ObjectId(6a580cc90514617b3e3528d4),laptop,c6
ObjectId(6a580cc90514617b3e3528d5),laptop,k12
ObjectId(6a580cc90514617b3e3528d6),laptop,qw2
ObjectId(6a580cc90514617b3e3528d7),laptop,c6
ObjectId(6a580cc90514617b3e3528d8),laptop,j3
ObjectId(6a580cc90514617b3e3528d9),laptop,j3
ObjectId(6a580cc90514617b3e3528da),laptop,ki2
ObjectId(6a580cc90514617b3e3528db),laptop,jl3
ObjectId(6a580cc90514617b3e3528dc),laptop,ki2
ObjectId(6a580cc90514617b3e3528dd),laptop,ki2
ObjectId(6a580cc90514617b3e3528de),laptop,jl3
ObjectId(6a580cc90514617b3e3528df),laptop,k12
ObjectId(6a580cc90514617b3e3528e0),laptop,jl3
ObjectId(6a580cc90514617b3e3528e1),laptop,qw2
ObjectId(6a580cc90514617b3e3528e2),laptop,kz
ObjectId(6a580cc90514617b3e3528e3),laptop,jl3
ObjectId(6a580cc90514617b3e3528e4),laptop,k12
ObjectId(6a580cc90514617b3e3528e5),laptop,j3
ObjectId(6a580cc90514617b3e3528e6),laptop,j3
ObjectId(6a580cc90514617b3e3528e7),laptop,ki2
ObjectId(6a580cc90514617b3e3528e8),laptop,zeta
ObjectId(6a580cc90514617b3e3528e9),laptop,jl3
ObjectId(6a580cc90514617b3e3528ea),laptop,ay9
ObjectId(6a580cc90514617b3e3528eb),laptop,qw2
ObjectId(6a580cc90514617b3e3528ec),laptop,zeta
ObjectId(6a580cc90514617b3e3528ed),laptop,jl3
ObjectId(6a580cc90514617b3e3528ee),laptop,zeta
ObjectId(6a580cc90514617b3e3528ef),laptop,jl3
ObjectId(6a580cc90514617b3e3528f0),laptop,jl3
ObjectId(6a580cc90514617b3e3528f1),laptop,qw2
ObjectId(6a580cc90514617b3e3528f2),laptop,c6
ObjectId(6a580cc90514617b3e3528f3),laptop,k12
ObjectId(6a580cc90514617b3e3528f4),laptop,j3
ObjectId(6a580cc90514617b3e3528f5),laptop,j3
ObjectId(6a580cc90514617b3e3528f6),laptop,kz
ObjectId(6a580cc90514617b3e3528f7),laptop,j3
ObjectId(6a580cc90514617b3e3528f8),laptop,j3
ObjectId(6a580cc90514617b3e3528f9),laptop,zeta
ObjectId(6a580cc90514617b3e3528fa),laptop,jl3
ObjectId(6a580cc90514617b3e3528fb),laptop,ki2
ObjectId(6a580cc90514617b3e3528fc),laptop,ki2
ObjectId(6a580cc90514617b3e3528fd),laptop,ki2
ObjectId(6a580cc90514617b3e3528fe),laptop,ay9
ObjectId(6a580cc90514617b3e3528ff),laptop,k12
ObjectId(6a580cc90514617b3e352900),laptop,qw2
ObjectId(6a580cc90514617b3e352901),laptop,kz
ObjectId(6a580cc90514617b3e352902),laptop,qw2
ObjectId(6a580cc90514617b3e352903),laptop,j3
ObjectId(6a580cc90514617b3e352904),laptop,j3
ObjectId(6a580cc90514617b3e352905),laptop,zeta
ObjectId(6a580cc90514617b3e352906),laptop,c6
ObjectId(6a580cc90514617b3e352907),laptop,kz
ObjectId(6a580cc90514617b3e352908),laptop,jl3
ObjectId(6a580cc90514617b3e352909),laptop,j3
ObjectId(6a580cc90514617b3e35290a),laptop,kz
ObjectId(6a580cc90514617b3e35290b),laptop,zeta
ObjectId(6a580cc90514617b3e35290c),laptop,qw2
ObjectId(6a580cc90514617b3e35290d),laptop,qw2
ObjectId(6a580cc90514617b3e35290e),laptop,ay9
ObjectId(6a580cc90514617b3e35290f),laptop,zeta
ObjectId(6a580cc90514617b3e352910),laptop,jl3
ObjectId(6a580cc90514617b3e352911),laptop,zeta
ObjectId(6a580cc90514617b3e352912),laptop,zeta
ObjectId(6a580cc90514617b3e352913),laptop,k12
ObjectId(6a580cc90514617b3e352914),laptop,ki2
ObjectId(6a580cc90514617b3e352915),laptop,k12
ObjectId(6a580cc90514617b3e352916),laptop,ay9
ObjectId(6a580cc90514617b3e352917),laptop,j3
ObjectId(6a580cc90514617b3e352918),laptop,zeta
ObjectId(6a580cc90514617b3e352919),laptop,j3
ObjectId(6a580cc90514617b3e35291a),laptop,j3
ObjectId(6a580cc90514617b3e35291b),laptop,ay9
ObjectId(6a580cc90514617b3e35291c),laptop,c6
ObjectId(6a580cc90514617b3e35291d),television,jk23
ObjectId(6a580cc90514617b3e35291e),television,k20
ObjectId(6a580cc90514617b3e35291f),television,jk23
ObjectId(6a580cc90514617b3e352920),television,boom
ObjectId(6a580cc90514617b3e352921),television,jk23
ObjectId(6a580cc90514617b3e352922),television,ss2
ObjectId(6a580cc90514617b3e352923),television,jk23
ObjectId(6a580cc90514617b3e352924),laptop,jl3
ObjectId(6a580cc90514617b3e352925),television,ss2
ObjectId(6a580cc90514617b3e352926),laptop,c6
ObjectId(6a580cc90514617b3e352927),television,boom
ObjectId(6a580cc90514617b3e352928),television,jk23
ObjectId(6a580cc90514617b3e352929),television,k20
ObjectId(6a580cc90514617b3e35292a),laptop,jl3
ObjectId(6a580cc90514617b3e35292b),television,dj1
ObjectId(6a580cc90514617b3e35292c),television,dj1
ObjectId(6a580cc90514617b3e35292d),television,ss2
ObjectId(6a580cc90514617b3e35292e),television,ss2
ObjectId(6a580cc90514617b3e35292f),television,dj1
ObjectId(6a580cc90514617b3e352930),television,dj1
ObjectId(6a580cc90514617b3e352931),laptop,zeta
ObjectId(6a580cc90514617b3e352932),television,k20
ObjectId(6a580cc90514617b3e352933),television,boom
ObjectId(6a580cc90514617b3e352934),television,boom
ObjectId(6a580cc90514617b3e352935),television,k20
ObjectId(6a580cc90514617b3e352936),television,k20
ObjectId(6a580cc90514617b3e352937),television,boom
ObjectId(6a580cc90514617b3e352938),television,dj1
ObjectId(6a580cc90514617b3e352939),television,ss2
ObjectId(6a580e8dd22f95e715738dc9),smart phone,c3
ObjectId(6a580e8dd22f95e715738dca),smart phone,bn20
ObjectId(6a580e8dd22f95e715738dcb),smart phone,pk2
ObjectId(6a580e8dd22f95e715738dcc),smart phone,c12
ObjectId(6a580e8dd22f95e715738dcd),smart phone,c12
ObjectId(6a580e8dd22f95e715738dce),smart phone,c12
ObjectId(6a580e8dd22f95e715738dcf),smart phone,k9
ObjectId(6a580e8dd22f95e715738dd0),smart phone,c3
ObjectId(6a580e8dd22f95e715738dd1),smart phone,cz
ObjectId(6a580e8dd22f95e715738dd2),smart phone,cz
ObjectId(6a580e8dd22f95e715738dd3),laptop,c6
ObjectId(6a580e8dd22f95e715738dd4),laptop,qw2
ObjectId(6a580e8dd22f95e715738dd5),laptop,ay9
ObjectId(6a580e8dd22f95e715738dd6),laptop,k12
ObjectId(6a580e8dd22f95e715738dd7),smart phone,xm23
ObjectId(6a580e8dd22f95e715738dd8),laptop,zeta
ObjectId(6a580e8dd22f95e715738dd9),laptop,qw2
ObjectId(6a580e8dd22f95e715738dda),laptop,jl3
ObjectId(6a580e8dd22f95e715738ddb),laptop,zeta
ObjectId(6a580e8dd22f95e715738ddc),smart phone,cz
ObjectId(6a580e8dd22f95e715738ddd),smart phone,c3
ObjectId(6a580e8dd22f95e715738dde),smart phone,k9
ObjectId(6a580e8dd22f95e715738ddf),smart phone,pk2
ObjectId(6a580e8dd22f95e715738de0),smart phone,bn20
ObjectId(6a580e8dd22f95e715738de1),smart phone,pk2
ObjectId(6a580e8dd22f95e715738de2),smart phone,xm23
ObjectId(6a580e8dd22f95e715738de3),smart phone,bn20
ObjectId(6a580e8dd22f95e715738de4),smart phone,platina
ObjectId(6a580e8dd22f95e715738de5),smart phone,platina
ObjectId(6a580e8dd22f95e715738de6),smart phone,k9
ObjectId(6a580e8dd22f95e715738de7),smart phone,xm23
ObjectId(6a580e8dd22f95e715738de8),smart phone,platina
ObjectId(6a580e8dd22f95e715738de9),laptop,zeta
ObjectId(6a580e8dd22f95e715738dea),laptop,qw2
ObjectId(6a580e8dd22f95e715738deb),laptop,k12
ObjectId(6a580e8dd22f95e715738dec),laptop,j3
ObjectId(6a580e8dd22f95e715738ded),laptop,ay9
ObjectId(6a580e8dd22f95e715738dee),laptop,ki2
ObjectId(6a580e8dd22f95e715738def),laptop,ki2
ObjectId(6a580e8dd22f95e715738df0),laptop,jl3
ObjectId(6a580e8dd22f95e715738df1),laptop,ay9
ObjectId(6a580e8dd22f95e715738df2),laptop,ki2
ObjectId(6a580e8dd22f95e715738df3),laptop,kz
ObjectId(6a580e8dd22f95e715738df4),laptop,qw2
ObjectId(6a580e8dd22f95e715738df5),laptop,ki2
ObjectId(6a580e8dd22f95e715738df6),laptop,c6
ObjectId(6a580e8dd22f95e715738df7),laptop,kz
ObjectId(6a580e8dd22f95e715738df8),laptop,j3
ObjectId(6a580e8dd22f95e715738df9),laptop,ki2
ObjectId(6a580e8dd22f95e715738dfa),laptop,k12
ObjectId(6a580e8dd22f95e715738dfb),laptop,ay9
ObjectId(6a580e8dd22f95e715738dfc),laptop,k12
ObjectId(6a580e8dd22f95e715738dfd),laptop,qw2
ObjectId(6a580e8dd22f95e715738dfe),laptop,kz
ObjectId(6a580e8dd22f95e715738dff),laptop,j3
ObjectId(6a580e8dd22f95e715738e00),laptop,k12
ObjectId(6a580e8dd22f95e715738e01),laptop,jl3
ObjectId(6a580e8dd22f95e715738e02),laptop,zeta
ObjectId(6a580e8dd22f95e715738e03),laptop,kz
ObjectId(6a580e8dd22f95e715738e04),laptop,ay9
ObjectId(6a580e8dd22f95e715738e05),laptop,jl3
ObjectId(6a580e8dd22f95e715738e06),laptop,zeta
ObjectId(6a580e8dd22f95e715738e07),laptop,zeta
ObjectId(6a580e8dd22f95e715738e08),laptop,k12
ObjectId(6a580e8dd22f95e715738e09),laptop,ay9
ObjectId(6a580e8dd22f95e715738e0a),laptop,zeta
ObjectId(6a580e8dd22f95e715738e0b),laptop,jl3
ObjectId(6a580e8dd22f95e715738e0c),laptop,ki2
ObjectId(6a580e8dd22f95e715738e0d),laptop,c6
ObjectId(6a580e8dd22f95e715738e0e),laptop,k12
ObjectId(6a580e8dd22f95e715738e0f),laptop,j3
ObjectId(6a580e8dd22f95e715738e10),laptop,jl3
ObjectId(6a580e8dd22f95e715738e11),laptop,qw2
ObjectId(6a580e8dd22f95e715738e12),laptop,k12
ObjectId(6a580e8dd22f95e715738e13),laptop,qw2
ObjectId(6a580e8dd22f95e715738e14),laptop,c6
ObjectId(6a580e8dd22f95e715738e15),laptop,ay9
ObjectId(6a580e8dd22f95e715738e16),laptop,k12
ObjectId(6a580e8dd22f95e715738e17),laptop,qw2
